Date,Review,Reviewer,Ratings,Userprofilelocation,Userprofilelocation,Parkname,datasource
3/24/2019,"My first time ever setting foot on the Key was quite satisfying, especially since the goal was to make it to this awesome park. After arriving here, I knew it was a big place, but I never imagined it being as big as it is with so many different areas. To begin, there is the beach area on the east side that seems to stretch for miles. The natural vegetation that nestles right up the wide beach and that beautiful blue Atlantic water was just filled with visitors enjoying the picturesque day. As you continue to explore on foot, or bike (my preference), you can get to the smaller park surrounding the lighthouse. If you have the time, you can take guided tours, and wait your turn to walk up the lighthouse as well. The line was too long on this visit for me, but the lighthouse is definitely very cool, and you can still learn a lot about it with all of the placards around the area. There are tons of fishing piers along the shore line, some nice trails for biking and walking as well with plenty of things to see and people to meet. There's the Boater's Grille that is nestled up to the No Name Harbor to grab a bite to eat, too. Boaters can park their boats in the Harbor overnight as well, probably for a nominal fee. I really enjoyed my visit and would definitely come back again for an extended stay some time in the future.",Kevin G.,5 star rating,"Naples, FL","Las Vegas, NV",Bill Baggs Cape Florida State Park,yelp
3/24/2019,"Love this state park! Beautiful fresh water springs, where you can snorkel, swim and scuba dive. The spring closes for water activities during the winter months because the protected Florida Manatees take refuge from the cold at the springs usually between Nov - March. During the winter the park is perfect to see the manatees while you enjoy a stroll or jog.",Ana W.,5 star rating,"Orlando, FL","Saint Augustine, FL",Blue Spring State Park,yelp
3/24/2019,"Rented two cabins. They where in a disgusting state of dis-repair, black mold growing in the corners of the cabins, spray foam was used to patch holes all over the cabins. The bathrooms that where closets to us had every single toilet clogged. When I asked the front desk to clean it they gave me a plunger. Pool smelled more like warm piss than chlorine. Won't be back",James B.,1 star rating,"Livonia, MI","Fish Hawk, Lithia, FL",Bulow Plantation Ruins Historic State Park,yelp
3/24/2019,"We stayed here in our trailer in November 2018.  The park is beautiful; staff are great; and bathhouse was one of the cleanest and nicest we have ever seen.  4 stars instead of 5 because there is no dump station.  We had no idea until leaving, since we had never before encountered this in a campground with RV spaces!  The nearest dump was miles away, so we carried our waste until we found a rest area with dump station.  Stressful and inconvenient ending to a great stay!",Robin B.,4 star rating,"Livingston, KY","Saint Augustine, FL",Gilchrist Blue Springs State Park,yelp
3/24/2019,"Great park and the only place I've gone kayaking for years. Just know that if you arrive anywhere near 11:00 on weekends the line of cars to get into the park might reach onto the road. It's happened to me more than once. The entry fee is $4 for solo and $6 for double passengers. There is a small beach, bike trails, canoe and kayak rentals, bike rentals, and more. The kayak rental process is usually quick but you need to sign a waiver upstairs first. I enjoy kayaking through the mangroves BUT sometimes there are so many mosquitoes and you're stuck. So now I always bring bug spray.",Lauren G.,5 star rating,"Miami, FL","Gainesville, FL",Oleta River Outdoor Center,yelp
3/25/2019,"Beautiful, clean and neighborly beach. I highly suggest checking out the lighthouse tour (only during select hours) and then snapping a shot with it in the background while you are on the beach. Chairs and umbrellas are available for rent $Beware that when you grill out in this area there are lots of raccoons. Generally they seem more pesky than harmful. Just be mindful when brining small children or dogs.",Kyla-Emman N.,5 star rating,"Miami, FL","Jacksonville, FL",Bill Baggs Cape Florida State Park,yelp
3/25/2019,Great Spring. In March we were excited to see a few manatees with my mom. Her wish was always to see a large mamal in the water and that dream was fufilled. You can rent blow up floaters here and float for a very short distance. Arriving at noon in Late Spring on a monday presented no problems for parking.,Eleanor G.,5 star rating,"Miami Beach, FL","Fulton, NY",Blue Spring State Park,yelp
3/27/2019,"Awesome place to take a walk on the beach. Compared the little Talbot, you couldn't swim here. The trees on the shore is a spectacular view. You can see people playing on the sand, sun tanning or fishing. You donate $3 at the entrance and get a parking tag. It wasn't much of a trail to walk.",Xinran Z.,5 star rating,"Jacksonville, FL","FL, FL",Big Talbot Island State Park,yelp
3/27/2019,"Recommended to come here and go for a walk, especially during manatee season! They are adorable sea cows and it's nice area. I came here during the week and it was very quiet nice and early in the morning. The state park does get busy during manatee season so plan accordingly and come early. Saw lots of fish and squirrels too. Park is also dog friendly, as long as you have them on a leash!",Krista D.,5 star rating,"Lake Mary, FL","Warner Robins, GA",Blue Spring State Park,yelp
3/27/2019,"We've been lucky enough to stay right near this little slice of beach heaven multiple times. The beach is large and there is a lot of it to walk (miles!). Only two sets of bathrooms; one at the main beach and then one at the entrance of the park. They are not close to one another.  Parking is SLIM after about 11am since it fills up quickly, probably the only downsize to that area. The beach itself is walking distance to multiple beach shops, bars, restaurants and a corner store. The sand is soft and clean and the water is almost see thru. It feels a little like Bermuda! Great spot to watch the sunset! We've seen so many dolphins and bald eagle in that area. The pass is gorgeous from the beach or parked on a boat for the day. It gets a little busy on weekends but don't let it deter you if you have never been. If you want to walk the whole park I would suggest shoes since there are some spots full of shells. If you can walk it it's absolutely worth it!",Rachel P.,4 star rating,"Burnt Hills, NY","Forest City, NC",Stump Pass Beach and Park,yelp
3/27/2019,This is a really great campground it is so great that our camper was naturally level when we parked making it a great place to set up in at 9:30 at night. The bathrooms are really nice lots of stalls the only problem was that tents were not allowed off the gravel so you had very little place to keep everything.,Kathryn D.,5 star rating,"Port Orange, FL","Jacksonville, FL",Wekiwa Springs State Park,yelp
3/28/2019,"Great walking/hiking trail at this park. However, to enter the long 4.5 mile walking path, you don't need/want to enter the park at the main entrance (which costs $5 per car). The entrance for the trail is just east of the park entrance on the opposite side of the road. So, we paid $5 to realize we were in the wrong place for the hike we wanted to take.",Wallace G.,4 star rating,"Chesterfield, MO","Bradenton Beach, FL",Grayton Beach State Park,yelp
3/28/2019,"State park is gorgeous. There are trials to walk and a beautiful spring to swim in. There are also kayaks and canoe rentals as well. You can see a lot of nature and enjoy animal watching. The last time I went on one of the paths, I saw a beautiful deer up close. One time kayaking, I did see a gator up close, so again- be careful with the nature! This place is so quiet early in the morning before a lot of people show up. This park can fill up in summer busy seasons.",Krista D.,5 star rating,"Lake Mary, FL","High Springs, FL",Wekiwa Springs State Park,yelp
3/29/2019,"Honestly, I expected so much more from the park. From the moment we entered we were underwhelmed, not only by the lack of scenery but by how confusing it was to find any parks within the park. I brought my dog here a few times and she enjoys roaming the wide open fields but don't come expecting much more. Beautiful lake spots and many boat ramps if that's your thing. However I won't be returning for anymore walks/ scenery alone.",Beatrice C.,2 star rating,"Summerville, SC","Gainesville, FL",Lake Louisa State Park,yelp
3/29/2019,Its not bad. Nice walk area. Not as good as the many free nature preserves around. It was $8 parking for here and the beach. On a cloudy day the beach lot was full. Ton of better options around,jon g.,3 star rating,"Salem, NH","Wilmington, NC",Lovers Key State Park,yelp
3/29/2019,"This is one of the best camping spots in south(ish) FL. Gorgeous hardwoods, a decent kayak trail, and the Florida trail runs through the park. Bring a bike, it's great to park the car at the campsite and bike everywhere else. You can stop anywhere along the main road, park, and just walk into the woods. The campgrounds are great, large and shady. Or you can take a backpack and primitive camp elsewhere in the park.",Heather S.,5 star rating,"Jackson, MS","Altamonte Springs, FL",Myakka River State Park,yelp
3/29/2019,$6 for lazy river?   Disappointing.  Water BEAUTIFUL!  Mermaids ‍ came out for a meet and greet/swim even though Mermaid Auditorium was being renovated which was AWESOME!!,Carrie B.,3 star rating,"CANADIAN LAKE, MI","Altamonte Springs, FL",Weeki Wachee Springs,yelp
3/30/2019,Great facility for boat docking and transportation on the hour to the Gulf side of the island.  This was a nice way to get to the gulf side beach on a very windy day.,Frank N.,4 star rating,"Dublin, OH","Altamonte Springs, FL",Cayo Costa State Park,yelp
3/30/2019,Used to be great until the state bought it. No more platform to jump off of. Barely a boardwalk anymore. Can't wade down to the river like you used to be able to. Water is beautiful but not much to do anymore. Kind of like Poe springs now.,Dana F.,1 star rating,"Newberry, FL","Altamonte Springs, FL",Gilchrist Blue Springs State Park,yelp
3/31/2019,"Coming from Fl 24, there is a signage on the side leading to this hidden park which to be honest feels like a privately owned park because no one is there. What is interesting is that it is a  Florida scrub reserve meaning the ecosystem is different as it is arid and landscape is completely different than other parks around Florida. Plants are mostly oaks and shrubs as may be due to low nutrients of the sandy soil and usually dry. Since we are the only ones around, we felt a bit afraid to go past the corner of the trail. This place is deserted but at least there is a bathroom that is generally clean and accessible.",Amber R.,3 star rating,"Tampa, FL","Newark, DE",Cedar Key Scrub State Reserve,yelp
3/31/2019,Simply Beautiful!!!! best Beach in Key West bonus is the Fort Zachary monumental park. Water is crystal clear and lots of shade and picnic tables.,Amy C.,5 star rating,"Carlsbad, NM","Yulee, FL",Fort Zachary Taylor State Park Beach,yelp
3/31/2019,"Admission was at a good price and the underwater dome was our favorite part. However, there is an abundance of ""parents"" not watching their children and letting them run around, throw toys, climb fences, and generally not follow rules. Park staff should monitor this better, as it is not only annoying to other visitors, but also a safety issue. We would have loved to stay longer but due to the above mentioned issue we decided to leave. Other than that, the park is beautiful.",Jenna Z.,3 star rating,"Spring Hill, FL","Westport, MA",Homosassa Springs State Wildlife Park,yelp
3/31/2019,"Great trails, lakes, and available kayak/canoe rentals...we hike with our hounds there regularly.",Ray S.,5 star rating,"Orlando, FL","Miami Beach, FL",Lake Louisa State Park,yelp
3/31/2019,"We rented a cabin for three nights in Stephen Foster Park for a long weekend getaway. The park is beautiful. There is a carillon tower that plays music at different times throughout the day, a museum with some cool dioramas and lots of information about Stephen Foster himself, the Florida Trail can be accessed within the park, and it's also along the Suwannee River so you can rent a canoe there, or elsewhere or bring your own canoe or kayak to launch. The grounds are very peaceful and quiet. The rangers were all very friendly. Shout out to Brandy who was the first ranger we encountered who told us how to check in and she also ran an interesting presentation on the Mexican free tailed bat on Saturday evening. We got to see a lot of bats as they exited the bathouse for their nightly dinner. The cabins themselves are spacious and very clean and cozy. There's a kitchen with a large fridge and freezer so you can bring groceries to prepare meals for an extended stay. They stock most basic cookware and dishes, but some of it isn't the best so if you are going to do a ton of cooking, you might want to bring some of your own cookware and utensils, particularly good knives. However, it was perfectly adequate and I had no issues preparing food with what was available. The beds also are kind of uncomfortable. I'd suggest bringing your own pillow and maybe a pillow top for the mattress if you have one. Again though, it was still really clean and nice and I'd absolutely recommend it for the price! The surrounding town is short on stuff to do, but we had fun exploring the trail, the park grounds, and the river for the three days we were there. It was a great amount of time to explore and get away from the typical hustle and bustle of the city.",Melinda S.,5 star rating,"Orlando, FL","Jacksonville, FL",Stephen Foster Folk Culture State Park,yelp
3/31/2019,Today I decided to venture out and explore what is still standing in their national landmarks...,Dianne G.,5 star rating,"Hesperia, CA","Huntertown, IN",Torreya State Park,yelp
3/31/2019,Beautiful state park! I could be a little biased considering I used to work for the state park system! I came to this one for a late night/after hours party last night; which was very cold! Apparently there was also a wedding going on too last night. The gate attendant was super friendly and very informative. He made us feel very welcomed. Made sure that we knew where we were going and provided us with directions. The beach itself was beautiful. My son was very eager to get in the water with his shirt and shorts. I would certainly come back to this location just to experience it in the day time and the beach.,Brittany W.,5 star rating,"Miami, FL","Pembroke Pines, FL",Von D. Mizell and Eula Johnson State Park,yelp
4/1/2019,We were so happy to find this place and will definitely be back again!  Nice beaches and the rangers were really friendly.,Emily R.,5 star rating,"Pennsylvania Furnace, PA","Pembroke Pines, FL",Von D. Mizell and Eula Johnson State Park,yelp
4/3/2019,Beautiful white sand beach and sparkling clean facility. Please don't ever come here because the best part is the lack of people!!!,Mary Ann D.,5 star rating,"Warwick, RI","Pembroke Pines, FL",St George Island State Park,yelp
4/4/2019,"Better to come here on a nice sunny day. $6 per vehicle entrance. 3 mile drive to the visitor center. There's hiking trails, bike riding, picnic benches, and beaches. At the end Amelia island where you can see Cumberland island. The entrance fee is for all day even if you leave the park and come back.",Nancy R.,3 star rating,"Atlanta, GA","Pembroke Pines, FL",Fort Clinch State Park,yelp
4/4/2019,Wow what's killer little state park on Key West. Great fees of clear blue water and if you've brought a hammock you can lay between the palm trees. Several picnic benches are around but your gonna have to fiat fight someone for those spots. Plenty of parking should you have a car. If your visiting the Fort well you'll pass that on the way to the beach. Bring the sunscreen and some tasty beverage to waist your day away.  Cause nothing beats a day of doing nothing laying on a sandy beach.,Frank B.,5 star rating,"Hollywood, Los Angeles, CA","Orlando, FL",Fort Zachary Taylor State Park Beach,yelp
4/4/2019,"This park is wonderful for watching wild life and riding bikes, you can take a ride on the lake and they will take you around an show you the whole place, price is not bad.The only thing I think they should update is there garbage bin...They are not the ones that keep the Racoons out, an with that said they just are all over if your camp site is like across the street from the garbage.So I would hope in the near future they would update that.But very nice park, a lot of gators.I would visit again..:)Toni Grace4/04/2019",Toni G.,4 star rating,"Bartow, FL","Pittsburgh, PA",Myakka River State Park,yelp
4/4/2019,My favorite spring I've been to so far as a Florida native. Plenty of trails to explore and little waterfalls sprinkled along the way. The main swimming area is somewhat small but the water is crystal clear and blue and beautiful. I love kayaking down the rainbow river. The path is lined with beautiful homes and trees and wildlife and is extremely peaceful. You can see through the clear water and if you're lucky you might spot a baby gator!,Michelle M.,5 star rating,"Alafaya, FL","Miami, FL",Rainbow Springs State Park,yelp
4/5/2019,A very nice camp ground. All sites are under very large old live Ike's. Water and electric at all very spacious sites. Dump station easy to navigate.,Joel R.,5 star rating,"Kutztown, PA","Fort Lauderdale, FL",Highlands Hammock State Park,yelp
4/5/2019,"For $6.00 per car this is a great deal!  Saw some gators by the side of the road, plenty of gorgeous birds, wonderful water vistas.  Not too sure the $20 for the boat tour is worth it - but still not a ripoff.",Charles O.,5 star rating,"Honolulu, HI","Denver, CO",Myakka River State Park,yelp
4/5/2019,"Another State Park in Florida that deserves a good review. People that run this place are very nice indeed and it is quite peculiar to hear the Carillon from the site, no matter how far you are from the cultural center. No full hookups here but that is ok because we just wanted to overnight and keep driving next morning.8 stars for the gentleman that goes around and delivers the firewood, great personality and very friendly, had a big fire that evening but mosquitoes had the best of us regardless of some smoke and heat. Had to be early on the road next morning so we missed the museum, did I say museum? can you believe that? a State Park with a Museum on site. Next time I will book a couple of nights so we can see all about Mr. Foster's music",Victor M.,5 star rating,"Charleston, SC","Richland Hills, Waco, TX",Stephen Foster Folk Culture State Park,yelp
4/6/2019,"We did an overnight stay at Myakka River State Park in March ... this is a beautiful park ... and huge ... if you're camping, you'll need a car or golf cart to get around and explore the different sections.  We stayed in site 79, which had 20/30/50 AMP power, H2O hookups and it's own sewer hookup ... we couldn't use the sewer hookup because it was ~12 inches high, so ended using the dump site at the end of the trip.This park has some really good trails ... the rive trail is pretty long and one way (not a loop) ... so you have to 180 in order to make it back to the start point ... this trail runs along the river ... tons of wild palms and you'll see some good gators.There's also a shorter Nature Trail ... maybe a 1.5 mile loop ... that splits off to what they call the Canopy Walk ... which is a wooden suspension bridge between two towers ... the bridge takes you through the canopy to the tower on the other side ... which is ~75-100 feet high ... climb that tower and you're above the canopy and can see for miles ... it's excellent, so if you hit Myakka, don't miss this.The park also has a small Outpost Store that has would and supplies (cash only) ... there's a diner on the river ... and more trails that run along the wider parts of the river ... there, you will see gators everywhere.I love Florida State Parks ... this one is awesome ... and we'll be back!  You can see our video here youtube.com/watch?v=_6ru…",Thomas M.,5 star rating,"Tampa, FL","Madison, AL",Myakka River State Park,yelp
4/6/2019,"Paynes Prairie Preserve is a beautiful Florida State Park ... like all of our State run parks in Florida (yes, I'm bias being from Florida) ...This park is gigantic ... there are multiple entrances to the park from different sides and you need to leave sections of the park to get to other sections ... so a car is required ... we RV camped in March and just stayed in that section (didn't have a tow vehicle) ...The camp sites are large and well maintained ... we stayed at site 006 which had 30/50 AMP power and H2O hookups ... fire pit, picnic table ...They have some good trails in the camping section of the park ... we were able to catch sight of wild horses in the prairie down by the observation tower ... Really wish we had a vehicle and more time to explore ... this is a massive property with trails that focus on horses, buffalos and gators ... but you need mobility to see them all ...You can view our video here youtube.com/watch?v=FJmr…",Thomas M.,5 star rating,"Tampa, FL","Galloway, OH",Paynes Prairie Preserve State Park,yelp
4/7/2019,"This is such a perfect place to hike, head for the beach or just climb aboard a kayak and paddle board and cruise around the placid waterfront.Not only is it beautiful here, it is beautifully maintained. Lots of picnic tables to enjoy eating whatever feast you may pack or you can bring along your favorite foods to barbecue.You can rent kayaks and paddle boards, purchase necessities like sun and bug protection or buy snacks and cold drinks here so be sure to bring money or credit cards.A recent Saturday visit enabled our group to arrive on the first ferry of the day and enjoy a quick walk to the beach and a hike along the nature trail. We then embarked on kayaks to paddle through the mangroves. It was a pleasantly breezy morning and the mangroves provided just the right amount of shade to make the trip truly a pleasure.Our hike along the trail made it feel like we had the entire island to ourselves. Eventually we crossed paths with a couple but that was it as far as other foot traffic goes.It is such a pleasure to roam around a naturally beautiful spot, see birds and turtles in their natural habitat and not be subjected to the noises other than those that emit from the environment.This is a paradise and just the sort of place that makes Florida such a treasure.",Mary J.,5 star rating,"Tampa, FL","Gainesville, FL",Caladesi Island State Park,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Destin, FL",Devil's Millhopper State Geological Site,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Tampa, FL",Devil's Millhopper State Geological Site,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Farmington, NH",Devil's Millhopper State Geological Site,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Jackson, Orange City, FL",Devil's Millhopper State Geological Site,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Fort Pierce, FL",Devil's Millhopper State Geological Site,yelp
4/7/2019,One of my favorite spots in Gainesville. 4 stars because the trail/stairs to the bottom of the sink was CLOSED!!!! We still had a nice cool walk around the perimeter. The temperature drops rapidly when you descend into the sink and the perimeter is heavily forested so it was cool on an 80 degree day. This is a truly unique treasure in our state and I hope that the erosion issues the park has experienced can be ecologically fixed and maintained to preserve the natural and historical features here.,Meanole M.,4 star rating,"Jacksonville, FL","Milton, FL",Devil's Millhopper State Geological Site,yelp
4/8/2019,"So much to see and even the two and five year old were happy about this choice. We went on a Sunday, at opening and it was great. No crowds and it's wasn't the hottest part of the day. Parking has improved from a few years ago. We got subs from Publix and ate at the picnic shelter. Took the tram one way and the boat back to the visot center.",Main S.,5 star rating,"Homosassa, FL","Milton, FL",Homosassa Springs State Wildlife Park,yelp
4/8/2019,"This State Park is very nice. I'll start with the few things that are so good. First, there is no internet service at all. They do have a store that has WiFi that you can go down to. It doesn't have septic at each camp site but they do have a dump station. The sites are absolutely beautiful. Every morning and evening we would see deer, Turkeys etc in our campsite. It's very lush and shaded. Great access to the lake. Great fishing, kayaking, hiking. It's far out and not very close to amenities so be prepared or be ready for a drive. The bathhouses were dated but were clean and spacious. Overall a great place to camp.",Eddie R.,4 star rating,"Lake Hamilton, FL","DeFuniak Springs, FL",Lake Kissimmee State Park,yelp
4/9/2019,Save your gas and don't bother stopping here.  Especially on weekends.  Hundreds of loud locals come to cool off in the springs.  Tiniest campground we've ever seen in a state park.  Campers practically on top of each other.  No bike or hiking trails.  Half mile roads in and out are like wash boards.  You won't have any shocks left .,Karen V.,1 star rating,"Dunnellon, FL","Bloomington, IL",Gilchrist Blue Springs State Park,yelp
4/9/2019,"This place has been one of my favorites to Kayak and the best part of it all is you can bring your dog! I've been there a handful of times and one tip everyone should know, especially if you're like me and you get eaten alive by bugs. Do not go there late or stay out around sundown. There were little bugs bitting me all over in the water while I was kayaking. Besides that, go earlier. The car line getting into the park usually takes long and there is a fee. Prices to go kayaking aren't cheap either, that's why I recommend everyone to go earlier to enjoy a full days worth. There's a little beach which is pretty cool because there isn't any waves so my dogs love to go swimming. I'm not sure if you're allowed to bring your dog there but my dogs never bother other people. I know you can go mountain biking but I'm not knowledgeable on that since I've never seen a trail. I have seen some marine life in the water, jellyfish and stingrays so be careful where you step. It's a nice park and everyone should be mindful of your trash!",Maria F.,5 star rating,"Miami, FL","La Grange, IL",Oleta River Outdoor Center,yelp
4/9/2019,"The best kayaking experience in FL! I use a wheelchair for mobility and the staff made sure I was ready and able to go kayaking before I even arrived! We were contacted by Teresa at Weeki Watchee, and she took care of me. Even drug me to shore when I fell out the first time! I just had to find my ""sea legs,"" I suppose. The kayaking itself was spectacular. I had a manatee swim so close to my boat, he scraped up against it.",John R.,5 star rating,"Charlotte, NC","La Grange, IL",Weeki Wachee Springs,yelp
4/10/2019,"Guy at the gate was rude. There were no manatees around. And the kayaks were shut down because of ""wind"" which amounted to a whisper of air. That wouldn't even phase an ant. We basically paid to park, walked around for 5 mins, and left.",Mercy M.,1 star rating,"New York, NY","Boston, MA",Blue Spring State Park,yelp
4/12/2019,"Met up with an old friend who lives here. She told us about Caladesi and of course googled it. After seeing pics-we we're hooked! It was maybe a 30-40 minute drive from our hotel in Clearwater. Park entry is currently $8 per car (4-8 personas). To get to the actual island, you have to ferry. We had a coupon for $1 off each ticket which we found in a tourist brochure. Being a state park, of course, comes with guidelines to protect the wildlife and there are signs to help you remember! The ferry goes over every 1/2 hr and tickets are color coded for times to return but you can come back early if the ferry isn't crowded. (They only sell tickets for the ride over when the ferry is ready & not before so no pre-ticket sales) we took tons of food, unfortunately, we forgot the lighter/matches to light the charcoal none of us smoke...there is a very crowded concession stand but our sides and junk food held us over! We actually rented a pavilion for $30 which had 6 picnic tables. We had no idea it was so big (only 4 of us) and a little ways from the actual beach! We thought about buying beach chairs and an umbrella but decided to rent as we'd have to donate or throw away since we flying home. However, didn't think it would cost $52+! 50 for 4 chairs and an umbrella, plus a $2 beach fee. It was worth it.",Lillian M.,5 star rating,"Indianapolis, IN","North Aurora, IL",Caladesi Island State Park,yelp
4/12/2019,"This was a nice beach, although very tough on the feet. Beautiful views, water was perfect temperature, although it was tough to find an area to just hang out in the water due to the rocky bottom.We got it late in the afternoon and it wasn't too crowded. We stay to watch the sun set which sadly wasn't all that because of some clouds. The bathrooms were kinda gross. The floor was soaked and covered in dirt and sand. For a beach on the Keys, which is hard to come by, this was totally worth the visit.",Marquel H.,4 star rating,"Farmington Hills, MI","Houston, TX",Fort Zachary Taylor State Park Beach,yelp
4/13/2019,"My favorite place to go down near Pembroke Pines/Miami/Ft. Lauderdale. I presume it gets very busy in the Summer, but wow, it is amazing in January and February! Just pay the guard at the entrance, enjoy a nice drive to any of the many parking areas. Cant go wrong! Bring your own drinks and snacks. Pura vida. They also have restrooms at one of the parking areas!",Abigail T.,5 star rating,"Shockoe Bottom, Richmond, VA","Fort Myers, FL",Von D. Mizell and Eula Johnson State Park,yelp
