Date,Review,Reviewer,Ratings,Locationusergeo,Statename,Country,parkname
12/15/2020,"This is not the perfect time to visit, yes they do everything for Covid 19, and yes they are open. However, most flowers are now blooming, the outdoor weddings and receptions are down to a few. Yet the trails are still beautiful.",387indy,4.0 of 5 bubbles,Coral Springs,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
11/18/2020,IT is a very nice place to visit and spend the day. It was very easy to get to. Staff at gate entrance very friendly! We will definitely go back!,Elizabeth LaJau... K,5.0 of 5 bubbles,Milton,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
11/18/2020,Situated just outside of downtown it’s a small oasis.  The gardens were off limits to us as we had our pup with us but the hiking trails were lovely.  Very quiet and serene.  We went to the smaller lake and enjoyed nature.  Looked like it had great biking trails.  Staff was very friendly and helpful ,Winnie,5.0 of 5 bubbles,Vero Beach,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
4/23/2020,"Maclay Gardens is a hot bed of native flowers and a prime location for small outdoor weddings, reunions, parties, receptions, or even a private phot session by your photographer. The grounds are beautiful year round. There is also a nice picnic and swimming areas for families.",Dana Tyre,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
1/21/2020,"Beautiful camellias and majestic oaks abound in this old, established park!  A lovely brick path meanders next to a stunning lake and leads to the old homestead that is open January till April.  The reflecting pond is beautiful and is surrounded by grand, enormous camellia bushes.  The gated garden with the fountain  and sculptures is very picturesque reminiscent of a European garden.  In addition, there are many hiking trails in the park.  Very peaceful escape from hustle and bustle.",cnn73,5.0 of 5 bubbles,Jacksonville,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
10/21/2019,Gorgeous and well kept grounds. Would be even prettier in prime flower time. We will try and visit on every trip to Tally.,John D,5.0 of 5 bubbles,Jacksonville,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
10/8/2019,"We as a family don't visit more than 3-4 times a year, but it's always a good time. Recently we decided to rent kayaks and venture onto Lake Hall. 2 people kayaks were $20 for 4 hours (more than enough time). Plus $6 to get in, which I think is up to 8 people in a vehicle. Kayaks are located right by the lake and equipment is gathered during the check in to the park. Put kayak up when you're done and drop off paddles, life jackets and seats when leaving. You can hang out and swim, fish or just relax after you're done with kayaking. Heck...grill some burgers, dogs or whatever if you choose. We kayaked about half of the lake with a 9 and 11 year old within an hour. We took it very easy and floated with the wind a good bit. Fished, but not seriously and no catches. But during cooler months, spring or without catering to kids it be great. I might make a trip back by myself at some point.It's always worth a try.",rb1fish,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
9/16/2019,"September is not the prime time to go, but the gardens are still lovely and the hiking paths are well kept. We will be back for the camellias.",winc984,5.0 of 5 bubbles,Rockledge,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
8/6/2019,"The park was absolutely stunning, I've never seen another park so beautiful. The house tour was really fun!",stone0924,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
7/8/2019,"We visited in mid March and the Azaleas were almost done blooming, as were the Camilias. The gardens are truly beautiful though, with or without the spring blooms. I was very interested in the house which was built in the early 20th century as a hunting lodge.  Original furnishings make this a unique experience.  So many garden paths to wander, you could spend an entire afternoon here. I plan to go back and see the gardens in different seasons!",cwvw79,5.0 of 5 bubbles,Jacksonville,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
7/5/2019,Were there for a renewing ceremony of friends.  Had a nice little house to have a reception.   Reflecting ponds and beautiful walking paths thru many types of plants and flowers.,Vic P,4.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
5/7/2019,This is one of Tallahassee most beautiful and scenic parks. if you want beautiful scenery while you sit out and relax and enjoy yourself at this park. Nature walks with room for fun and games and picnics and family gatherings or just go solo,Bruce W,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
5/7/2019,"Maclay Gardens is a state park in Tallahassee, Florida.  The park is most beautiful in the spring when all the plants are in bloom and the greenery has recovered from a mild winter.  There are paths to walk, a home to explore, and at various times of the year displays along the walkways.  If you need a place to regroup, slow down, relax, then this is definitely the place for you.  The price of admission is very reasonable.",tobybear2014,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
4/26/2019,"Self guided walking tour on beautifully kept grounds. Best time to view gardens is late winter\early spring. Summer months offer swimming, kayaking, hiking etc.",Robert,4.0 of 5 bubbles,Beverly Hills,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
4/19/2019,I grew up going to the old Cypress Gardens as a kid. Alfred B. Maclay Gardens took me back to that time. We went in April when there is typically an extra charge to see the formal gardens. We went in the evening so the staff let us in with our annual pass. The grounds were beautiful! Giants oaks and magnolias line a brick path. A walled garden reminiscent of the Secret Garden from literature is tucked away. Many squirrels and rabbits run around. We sat for a while and relaxed by the lake. Many flowers were starting to bloom as well making for a beautiful scene. I highly recommend stopping by Maclay Gardens when around Tallahassee!,TrailTrekker15,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
3/31/2019,"Alfred B. Maclay Gardens Is another great place to spend some time in history andbeautiful gardens. There is a lott to see, hear and smell and you can hike or bike several trails.",Roy C,5.0 of 5 bubbles,St. Augustine,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
3/30/2019,It’s a good place but I hate that you have to pay to see the plants. And you have to pay to get to the park too. I have never been to a place where you have to pay to go to a park and the park wasn’t even that nice.,Kj38,3.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
3/25/2019,I enjoyed the day out by the lake as well as biking on the trails. The rangers were very helpful and friendly and I look forward to returning.,ZAkerele,5.0 of 5 bubbles,Tallahassee,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
11/22/2019,We enjoyed a visit to the gardens even though not many blooms this time of the year. The weather was cool and clear. Crew teams practicing on the lake were a special treat. We hope to return in the spring.,Tom M,4.0 of 5 bubbles,Merritt Island,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
11/16/2019,"We love sightseeing and being outdoor. We found the staff very welcoming and knowledgeable. They told us about the events that were going on the day we went without us asking. The grounds were nice. My problem is the trail where dogs are allowed is not all that. There's a dirt bath but not much to look at. It reminds me of foraging in the woods as a child. We still walked it. Was about 3 miles. There's a small dog fountain out there so that was a plus. Didn't get to see everything,  may go back.",SantanaReshea,4.0 of 5 bubbles,Florida City,Florida,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
9/8/2019,We visited in September and although there were no blooms (since it wasn't spring) the place was loaded with butterflies. Beautiful walk with the camera - snapped some beaut shots,Norm Travels,5.0 of 5 bubbles,Tifton,Georgia,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
6/24/2019,"What a gem of a botanical garden and walking paths! Very well kept, beautiful scenery, very nice walking paths and a bit of history if the 1930's home of Alfred B Maclay is open when you are there. I would spend 2 hours or so here unless you bring lunch or so and spend some more time easily. We visited in April and there were some flower blooming. Not sure when peak season is as we are from New Jersey. Would definitely recommend visiting this Florida State Park, perfect for all ages and groups!",jewelekuhar,5.0 of 5 bubbles,Alloway,New Jersey,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
4/15/2019,"I was here in early April, so there was very little blooming, but I can only imagine how gorgeous it is when the camellias are in full bloom.   Grounds seemed to be well taken care of.   Despite not much blooming, it was a pleasant stroll among trees",Janet A,4.0 of 5 bubbles,Avalon,New Jersey,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
1/13/2020,A beautiful place for a wedding. Near the pond. Our event was three years ago but it would not let me put in the correct date. Employees were friendly. ,LetsGoCruise,4.0 of 5 bubbles,Nashville,Tennessee,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
10/2/2019,"the spring at Maclay Gardens is magical. the fee is worth it just to see the whole beauty bloom. for anyone who likes hiking, walking... this is ideal choice while in Tallahassee",Rhonda,5.0 of 5 bubbles,Washington,Washington,United States,Alfred B Maclay Gardens State Parktripadvisorreviews
6/18/2020,"The trails are wide and open, making this park a better choice for overcast days.  As others have mentioned, it is sandy and appropriate footwear matters.  A real plus is the peace and quiet here.",Gail R,4.0 of 5 bubbles,Haines City,Florida,United States,Allen David Broussard Catfish Creek Preserve State Parktripadvisorreviews
10/26/2019,Wife and I did a nice hike. It is very sandy so you will really get a workout. There are some slight hills. Bring water it will get pretty warm. Lots to see. We did 4.2 miles. The maps at located in the mailbox at marker #2 we saw half a dozen scrub jays. Lots of other animal tracks in the sand. The statue along the route is a nice tribute to the parks namesake ,cheapfisherman,4.0 of 5 bubbles,Winter Haven,Florida,United States,Allen David Broussard Catfish Creek Preserve State Parktripadvisorreviews
11/23/2019,"Great uncrowded beaches with Driftwood. There are nice hiking & biking trails.  We arrived there late in the evening, but have to pay the rate for a day. No worries as we know that it will spend for the park. We loved it and definitely will coming back. ",WatTedzegt,4.0 of 5 bubbles,Rotterdam,South Holland,Netherlands,Amelia Island State Parktripadvisorreviews
12/29/2020,"My hubby said this was his favorite because of the beach driving! Like the olden days when we were kids. Nice view of the ocean, Talbot island and the Pier.  ",nicole s,5.0 of 5 bubbles,Palmetto,Florida,United States,Amelia Island State Parktripadvisorreviews
7/14/2020,This is a beautiful beach and state park. It seemed like a popular spot for fishing when we were there.,ExploringD2,5.0 of 5 bubbles,Melbourne,Florida,United States,Amelia Island State Parktripadvisorreviews
1/3/2020,We went there on our way home and ended up going 4 wheeling on the beach. It was great fun. We ended up spending a couple of hours just crushing around the beach. There are so many different areas we could fish just had to get there. ,Bill34950,5.0 of 5 bubbles,Vero Beach,Florida,United States,Amelia Island State Parktripadvisorreviews
12/27/2019,We stopped here on a road trip and enjoyed it. There seemed to be a lot of shells on the beach. We walked a couple of miles. Four wheel drive trucks are allowed on the beach. Note there are a number of other state parks nearby. We had purchased the annual state parks pass ($60 for 1 person or $120 for up to 8 people in the same vehicle) so we visited most of the state parks nearby. Big Talbot and Little Talbot are also nice. Apparently people find shark's teeth in these parks but we didn't find any. I do know what they look like.,DiverM,4.0 of 5 bubbles,Jupiter,Florida,United States,Amelia Island State Parktripadvisorreviews
11/4/2019,"The Island a 13.5 mile long and a 2 miles at it’s wider point, offers unlimited year round fishing. Charter boats will take you to the marshes and rivers around the jetties.",mountain22,4.0 of 5 bubbles,Mount Dora,Florida,United States,Amelia Island State Parktripadvisorreviews
7/18/2019,My husband and I hiked the beach for hours until the tide went out. We found beautiful shells and two shark teeth! So many birds at the water line! Beautiful Florida day. We were glad to have brought our hats because there is no source of shade. On our way out of the park we took an awesome picture under the bridge with our shells. Thank goodness for the timer on my camera!,Annie,4.0 of 5 bubbles,Indiantown,Florida,United States,Amelia Island State Parktripadvisorreviews
3/7/2020,"We have been going to Amelia Island at least once each year for the last 30 years.  We often stay at the north end, beyond Atlantic Ave. in rental homes on the beach.  This area is the most secluded and the far north borders on Fort Clinch Park.  Larger rental homes and large condos predominate in the southern end of the Island.  The quaint city of Fernandina Beach is a joy to traverse on an afternoon.  We take our dog and can eat at a variety of spots that allow dogs (typically in outside eating areas).  Karibo is one of our favorites.  Fine dining is also quite available in the city.  Joe's and Le Clos are two of our favorites.  To get a taste of Amelia Island, I would suggest scheduling a night or two at the Elizabeth Pointe Lodge, a wonderful bed and breakfast at the east end of Atlantic Ave.  Roam around and walk the beaches.  Take a kayak tour, or just plant yourself on the beach and watch the waves roll in.",Paul C,5.0 of 5 bubbles,Gainesville,Georgia,United States,Amelia Island State Parktripadvisorreviews
4/7/2019,"There are 2 different parking areas. We  found that dogs were not allowed on the beach.Horses and horse poop allowed, but not dogs???? Something way wrong there.We just walked down for a quick look.Saw several jellyfish in the water, so figured we weren't missing much.",Linda D,3.0 of 5 bubbles,Portland,Maine,United States,Amelia Island State Parktripadvisorreviews
3/24/2020,"This is a must visit while vacationing in Florida.  The beaches were beautiful.  It was fun to scour the beaches for shells and shark teeth.  It was uncrowded at this time of year.  When you don't want to visit the beach, you can visit the historic town which has a lot to offer.  Wlli definitely be heading back to explore more of the island.",dena b,5.0 of 5 bubbles,Gaithersburg,Maryland,United States,Amelia Island State Parktripadvisorreviews
4/19/2019,"We visited the state park to walk on the beach.  This park allows properly equipped vehicles to drive onto the beach- great for fishing.  The sand can be fairly hard closer to the water, but you still need AWD to get thru the softer sand higher up the beach and on the parking lot access.The views are fine and the beach was fairly clean, but I would not go out of my way to visit here again.  State park fee of $3.00 is on the honor system, so don't be cheap and get caught.The have porta-johns that were horrendously filthy.  Lots of room for improvement here.",Jodnay,2.0 of 5 bubbles,Seekonk,Massachusetts,United States,Amelia Island State Parktripadvisorreviews
5/6/2019,"Loved driving our rental Jeep on the soft beach sand. Loved the scenic and quiet beach, with birds and many small seashells. Friendly people too: I forgot my sandals on the beach and came back later for them. A stranger had moved them out of the incoming tide's way :)",Flyb0yz,5.0 of 5 bubbles,Columbia,Missouri,United States,Amelia Island State Parktripadvisorreviews
7/17/2020,  It was a parking lot for 4x4 vehicles. Everyone was parked on the beach fishing.  Loud music of every kind was blasted.  The beach was ugly but the park was beautiful. I ran away,Suzanne G,2.0 of 5 bubbles,New York,New York,United States,Amelia Island State Parktripadvisorreviews
11/12/2019,"Not real touristy in a good way.  Great for horseback riding, fishing, or just chillaxing.  You can fish from the bridge or the shore.",TrayBN,5.0 of 5 bubbles,Mount Cobb,Pennsylvania,United States,Amelia Island State Parktripadvisorreviews
7/28/2019,"This is a great place to surf fish because it’s quiet and has very few swimmers. You can drive on the beach if you have a 4x4 or AWD vehicle. Don’t try it if you don’t. I’ve seen plenty of cars and 2 wheel-drive trucks get stuck in the sand there. I’ve been fishing here for years and have caught plenty of red drum, blue fish, and sharks from the shore. With the Fort Clinch Pier closed, this is my favorite place to surf fish in Amelia Island.",Josh T,5.0 of 5 bubbles,Athens,Pennsylvania,United States,Amelia Island State Parktripadvisorreviews
4/5/2019,Most folks come here because you can drive your car on the beach.  We rode our bikes.  The sand was like concrete (after the tide goes out) so it was a beautiful ride.  We rode later in the morning so the seashells and shark teeth were already taken by the early risers!!,VirginiaLove2Travel,4.0 of 5 bubbles,Virginia Beach,Virginia,United States,Amelia Island State Parktripadvisorreviews
4/4/2020,"The title sums up how I feel about this state park. The waves as they break from the Atlantic onto the beach are so relaxing and calming. Several educational tours lasting between 1 and 2 hours occur during the month to learn about how nature preserves this beautiful area, can destroy it and rebuild it again. The fauna and flora are amazing....to learn how they co-exist to support each other in this type of environment. Washrooms, snack shop, rentals and camping are available. ",radar643,5.0 of 5 bubbles,Minden,North Rhine-Westphalia,Germany,Anastasia State Parktripadvisorreviews
11/3/2019,"This time around was at the height of the summer season, which was busier than our visit last autumn. The campsites are well maintained but quite close together, and it starts to feel like a bit of a parking lot when full. You have the sense you’re sleeping out in the suburbs rather than being isolated on a barrier island. The electric hookup is convenient but we happened to be across from a bunch of young people running their ac all night, which, along with their general rowdiness, detracted from the getting away from it all experience. The bugs never really went away, and if you saw anyone hanging out they were usually under the protection of tents. In the summer you probably wouldn’t want to sleep out without a mosquito net. The spots are nice and shady, with a sturdy picnic table, bbq, and spigot with good water pressure. We’ll probably be back.",HotelCalifornians,4.0 of 5 bubbles,London,England,United Kingdom,Anastasia State Parktripadvisorreviews
7/6/2019,Worth a visit even if you don't go to the beach. Some some tortoises along the road when we were exploring.,Annie,4.0 of 5 bubbles,London,England,United Kingdom,Anastasia State Parktripadvisorreviews
3/12/2021,"The weather was unseasonably cold during our visit to St. Augustine.  Despite that, we enjoyed our time at Anastasia St. Park. The beaches were really nice and we even rented some bikes to see the rest of the park.  ",Michele M,5.0 of 5 bubbles,Birmingham,Alabama,United States,Anastasia State Parktripadvisorreviews
11/4/2019,"We kayaked and hiked along the beach in this lovely park.  We also looked at the campsites down numerous loops and it looks like a great place to camp.  We did not actually camp here, but it was full.  There is a short  (0.7 mile) hiking trail. The park staff we met were all very friendly and knowledgeable.",M O,5.0 of 5 bubbles,Arvada,Colorado,United States,Anastasia State Parktripadvisorreviews
2/24/2021,"We were in St Augustine for a stop on the way home and decided to got to Anastasia State Park to walk on the beach.  It was a lovely cool day, during the pandemic and during the week - so it was very peaceful with very few people there.   It's a great place to walk on the beach, kayak, hike and camp.",LPLoveToTravel,5.0 of 5 bubbles,Ocala,Florida,United States,Anastasia State Parktripadvisorreviews
1/12/2021,"Such a great place to cam p with kids. Close to the beach, and so much to do at the park. One of our favorite spots just outside of Jacksonville.",Jacksonville Beach Moms,5.0 of 5 bubbles,Jacksonville Beach,Florida,United States,Anastasia State Parktripadvisorreviews
1/5/2021,"We love this State Park and will continue to enjoy it for years to come.  We are regular FL campers. We take a long weekend at a State Park in Florida 1-2 times a month almost every month of the year now.  We continue to come back here for so many reasons.  Although it is not easy to get spots here during the peak months and holidays , we were lucky to get spot 114 over New Years.  It was deep and shady and had plenty of room for a 32' Fifth Wheel and two larger size pick up trucks.  It is right across from the bathrooms also.  We could hear the ocean waves from our site.  This area of the campground is the closest camping sites to the beach. We walked to the beach and hung out numerous times. It is also close to the canoe and kayak area where we launched our canoe one day but it was a liitle too windy to go far.  We biked to the lighthouse which was only 1.5 miles away. We biked the surrounding area a well and it was so neat to see  all of neat historic homes in the area as well as the boats in the marina.  Downtown area is just a few miles away but was a nightmare to get to duing the holiday lights.  The bathrooms in our area of the campground were very clean.  Everyone camping seems very happy with the park and it was nice and quiet after 11pm.  I have nothing but wonderful things to say about this campground and facilities and look forward to coming back.",ANGELA K,5.0 of 5 bubbles,Fort Myers,Florida,United States,Anastasia State Parktripadvisorreviews
1/4/2021,"Sorry to leave a negative review for this beautiful campground, but our site was right next to a homeless camp. In the four nights that we were there, we experienced people coming and going at all times of the night - either sleeping in a tent or in cars, violent fights and language, drug use, urination in the bushes, and a man pulling down limbs to burn.As much as I tried to have empathy for those down on their luck, this ruined our trip. The rangers? They knew about it but did nothing. The couple on the other side of the homeless camp complained multiple times. At the time (mid December) the site was #22 on the Queen Conch loop, but we overheard them saying they rotate around. We did not feel safe confronting anyone at this site. We are very thankful that our kids are grown so there were no children overhearing and seeing what we experienced those four days and nights. We really hope the rangers will reconsider allowing this to take place when people have no idea what they have just set up next to.Why didn't we move? It's kind of like the school bully whose victims just need to find a new school. How is that helping the problem? So that another family can unpack in the newly empty site - a family with little kids on bikes?",cowgirl41,1.0 of 5 bubbles,Venice,Florida,United States,Anastasia State Parktripadvisorreviews
1/1/2021,"I have visiting many of Florida's state parks, ASP is maintained equally nicely. The size is small, and quickly overpopulates to to the point of being too crowded. There is a nature trail that may be nice for city people, but for those of us who hike in nature, this nature trail is disappointing. There is a path from the watersports booth (about halfway down the mail drive),  which offers an opportunity to do some casual birding. When I was there, there were 50 or more people hammering away at oysters that line the inner waterway, preventing birds from coming too close to shore. The gift shop had sparse merchendise, they also sold simple food, although I did not make any orders. The beach was beautiful, the most beautiful aspect of this state park were the dunes, which suggest how all of Florida's shorelines should appear.",fossilprep,3.0 of 5 bubbles,Kissimmee,Florida,United States,Anastasia State Parktripadvisorreviews
10/17/2020,"We were in town for several days sightseeing in the nation's oldest city.  Living in Hilton Head Island, SC, we are accustomed to beach living.  However, the beach at Anastasia is unlike what we are used to:  uncrowded, secluded with high dunes and tons of tiny shells. We paid the nominal $8 entrance fee and drove through the 139-site water and electric campground first. Tent sites are available.   We full-time in an RV so the campground was a must-see for us.  While the access to the loops is narrow, the sites are all very private and secluded.  There is a dump station available at no charge; 50 amp electric sites are available on the Sand Dollar Loop.  We talked to a ranger who suggested making reservations well in advance because of the recent surge in  camping popularity.  Hot water showers and laundry facilities are available. The park has three picnic areas with tables and restrooms, in addition to three playgrounds.  Pavilions can be rented for groups.  Information is available at the Ranger Station as you enter.   Bicyclists can enjoy more than four miles of beach and several miles of park roads.  We saw three RV's parked on the side of the road while these families biked to the beach or took pictures of a turtle on the side of the road.  With generators running, the park is an ideal spot for families enjoying the RV lifestyle and easy access to the beach.  Commercial enterprises sell beach, camping and fishing supplies and rent canoes, kayaks, sailboats, and stand-up paddleboards.  Anastasia's Bedtime Story Camper Lending Library for campers ages 4-9 offers picture books about the sights and sounds found in the park.  Ask to check out a book at the ranger station.  There area several places to park along the beach including areas to put in a kayak.  We chose to park in a large parking lot with clean bathrooms and a free Wi Fi hotspot area just next to the restroom.  We are accustomed to seeing dogs on the beaches in Hilton Head.  Not so at Anastasia.  Kudos.  If you are looking for a quiet beach with few people and great parking, this is your place.  Expect to find tons of small shells.  Waves are modest.Just prior to the paid entry to the park, you can stop to see the Coquina Quarries on the right.  More than 300 years ago,  the park was busy with workers hauling out blocks of the soft shellstone used to build the Castillo de San Marcos and other buildings.  Coquina (Spanish for ""tiny shellfish"") is a type of limestone composed of sea shell fragments. ",Marnette S,5.0 of 5 bubbles,Webster,Florida,United States,Anastasia State Parktripadvisorreviews
10/9/2020,"Beautiful area, parks people are friendly and courteous. Depends upon when you visit, lots of tourists from around the world. All very nice! You gotta go!",Isleman,5.0 of 5 bubbles,Lorida,Florida,United States,Anastasia State Parktripadvisorreviews
9/15/2020,"Went for a walk, and this is a beautiful beach. It was not crowded as other beaches. I didn't park by the state park, but I wish I should gone that way.",SofiaJara10,5.0 of 5 bubbles,Orlando,Florida,United States,Anastasia State Parktripadvisorreviews
